,Length,Width,Views last 7 days,EUR_Price,clusters,cluster
0,-1.2868419287295938,-1.3636565331164396,0.48713069209268567,-0.31101089054474546,0,light pink
1,-1.2868419287295938,-1.6937294878824674,-0.48644484507701924,-0.31085188740431063,0,light pink
2,-1.4535949691645615,-2.1063206813400024,-0.5573675663277925,-0.28406453480399557,0,light pink
3,-1.3618807969253295,-1.72673678335907,-0.5960526870100323,-0.31094645789960196,0,light pink
4,-0.9199852397726649,-0.9675689873972061,2.086115680291936,-0.31073757142099145,3,dark purple
5,-1.346873023286182,-1.8010031981814263,-0.6798704484882189,-0.3110150474895934,0,light pink
6,-1.2284783645773552,-1.5039375388920013,0.19054476686217953,-0.3110493422845892,0,light pink
7,-1.2284783645773552,-1.4874338911537,0.5709484535708722,-0.3108414950421907,0,light pink
8,-1.1701148004251165,-1.2811382944249325,-0.5251299657592592,-0.3108414950421907,0,light pink
9,-1.2201407125556067,-1.569952129845207,-0.24143908075616635,-0.3096983352089991,0,light pink
10,-1.3335327800513848,-1.834010493658029,1.6928169533558304,-0.30980225883019835,0,light pink
11,-1.2868419287295938,-2.1063206813400024,-0.17051635950539315,-0.279248714197623,0,light pink
12,-0.619829766989723,-0.587985089416274,0.7385839765272452,-0.3103218769361945,0,light pink
13,-0.8916372228987204,-1.0253317544812608,1.1576727839181777,-0.3103218769361945,0,light pink
14,-1.3618807969253295,-1.72673678335907,-0.5251299657592592,-0.31032291617240654,0,light pink
15,-1.235148486194754,-1.5782039537143577,-0.3897320433714194,-0.31039462347103397,0,light pink
16,-1.0200370640336456,-1.1986200557334254,-0.3381518824617662,-0.31042580055739377,0,light pink
17,-0.8649567364291255,-0.8933025725748496,1.4993913499446305,-0.31042580055739377,0,light pink
18,-1.0033617599901488,-1.6524703685367137,0.06159436458804642,-0.31011402969379603,0,light pink
19,-1.3618807969253295,-1.72673678335907,-0.13183123882315323,-0.31029069984983476,0,light pink
20,-1.0200370640336456,-1.6277148969292616,3.1628515392809478,-0.3103218769361945,3,dark purple
21,-1.2851743983252442,-1.6937294878824674,2.3311214446127893,-0.3103478578414943,3,dark purple
22,-1.146769374764221,-1.6277148969292616,0.33239020936372593,-0.31037383874679414,0,light pink
23,-1.1117512362728779,-1.3636565331164396,1.7572921544928968,-0.31042580055739377,3,dark purple
24,-1.218473182151257,-1.5204411866303027,0.6741087753901787,-0.310529724178593,0,light pink
25,-0.9199852397726649,-0.909806220313151,10.661317431521788,-0.310529724178593,3,dark purple
26,-1.053387672120639,-1.5534484821069054,4.503935722931932,-0.310529724178593,3,dark purple
27,-1.2201407125556067,-1.6937294878824674,-0.11248867848203326,-0.3108414950421907,0,light pink
